PlatformGenre,Continent,SumSales
3DOSimulation,Asia,0.02
3DOPuzzle,North America,0
3DOPuzzle,Europe,0
3DOPuzzle,Asia,0.02
GGPlatform,North America,0
GGPlatform,Europe,0
GGPlatform,Asia,0.04
PCFXRole-Playing,North America,0
PCFXRole-Playing,Europe,0
PCFXRole-Playing,Asia,0.03
